Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
634dc8dc89129b9d8c886333,6320e419d1acadbc6688cf7a,APPROVED,2022-10-17T21:28:07.088000Z,2022-10-17T21:29:01.482000Z,2022-10-17T21:29:02.007000Z,2022-10-17T21:29:01.942459Z,55,C144ZYME,111,35,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc8e1eb0179d2e7061c7c,6316c6198b68c73f7457041c,APPROVED,2022-10-17T21:31:12.006000Z,2022-10-17T21:31:40.832000Z,2022-10-17T21:31:41.308000Z,2022-10-17T21:31:41.235582Z,29,C144ZYME,175,19,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc8e7c255099cc2e95379,5e801ffa2b3c3870ecdf7865,APPROVED,2022-10-17T21:28:11.094000Z,2022-10-17T21:31:03.633000Z,2022-10-17T21:31:04.157000Z,2022-10-17T21:31:04.075882Z,173,C144ZYME,2263,50,Male,Asian,United States,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,
634dc8ead489d5aaf051664d,5e58376293597e044d5af47a,APPROVED,2022-10-17T21:28:14.735000Z,2022-10-17T21:34:50.407000Z,2022-10-17T21:34:50.864000Z,2022-10-17T21:34:50.798153Z,396,C144ZYME,2686,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
634dc8ed42c866ca5cb8ea14,603c69904835ea83ab3a7eb9,APPROVED,2022-10-17T21:28:17.131000Z,2022-10-17T21:31:59.224000Z,2022-10-17T21:31:59.736000Z,2022-10-17T21:31:59.664584Z,223,C144ZYME,473,20,Female,White,United States,United States,United States,English,Yes,Other,
634dc8ff3cf389f799d1b8ca,6286642579f3b7c4d3f863c4,APPROVED,2022-10-17T21:28:33.612000Z,2022-10-17T21:30:28.433000Z,2022-10-17T21:30:28.885000Z,2022-10-17T21:30:28.807813Z,115,C144ZYME,805,30,Male,White,United States,United States,United States,English,No,Full-Time,
634dc907abe6599547e9531f,61112c05608ea60cb93f04f0,APPROVED,2022-10-17T21:28:43.133000Z,2022-10-17T21:29:20.510000Z,2022-10-17T21:29:20.932000Z,2022-10-17T21:29:20.859457Z,38,C144ZYME,1986,51,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc90e0ea927c5e91ff9c3,5dd5d5b8f30aa6596ceebab8,APPROVED,2022-10-17T21:28:51.127000Z,2022-10-17T21:30:53.381000Z,2022-10-17T21:30:53.864000Z,2022-10-17T21:30:53.805917Z,123,C144ZYME,560,60,Male,White,United States,United States,United States,English,No,Full-Time,
634dc913767f004c441aa52c,61194d67cf13024bcdf7c246,APPROVED,2022-10-17T21:29:01.594000Z,2022-10-17T21:30:10.238000Z,2022-10-17T21:30:10.681000Z,2022-10-17T21:30:10.600723Z,69,C144ZYME,484,19,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
634dc921265433303ed2676b,5eb879035275547d0fcdd610,APPROVED,2022-10-17T21:29:08.606000Z,2022-10-17T21:29:39.951000Z,2022-10-17T21:29:40.421000Z,2022-10-17T21:29:40.362349Z,32,C144ZYME,2156,43,Male,Mixed,United States,United States,United States,English,Yes,Full-Time,
634dc922bfa79ad856b52ffb,6234fb9dc715e1b3a9007c7e,APPROVED,2022-10-17T21:29:09.894000Z,2022-10-17T21:32:47.020000Z,2022-10-17T21:32:47.556000Z,2022-10-17T21:32:47.474638Z,218,C144ZYME,939,40,Male,White,United States,United States,United States,English,No,Full-Time,
634dc924e8068cceb6bec968,6102305909437ce716d13eee,APPROVED,2022-10-17T21:29:13.287000Z,2022-10-17T21:33:42.041000Z,2022-10-17T21:33:42.483000Z,2022-10-17T21:33:42.413439Z,269,C144ZYME,116,23,Female,White,United States,United States,United States,English,Yes,Part-Time,
